Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Network,Type
89852,5501,2662,7.0,DHL,conventional,consolidated
89860,5501,2662,7.0,DHL,conventional,consolidated
89957,7399,2668,1.0,PostNL,conventional,consolidated
90073,4178,2668,1.0,PostNL,conventional,consolidated
90075,6955,2668,1.0,PostNL,conventional,consolidated
90081,1044,2662,7.0,DHL,conventional,consolidated
90207,5501,2662,7.0,DHL,conventional,consolidated
90216,4137,4604,15.0,FedEx,conventional,consolidated
90228,4178,2668,1.0,PostNL,conventional,consolidated
90260,6955,2668,1.0,PostNL,conventional,consolidated
90266,6955,2668,1.0,PostNL,conventional,consolidated
90289,5501,2662,7.0,DHL,conventional,consolidated
90335,6955,2668,1.0,PostNL,conventional,consolidated
90358,6955,2668,1.0,PostNL,conventional,consolidated
90475,4178,2668,1.0,PostNL,conventional,consolidated
90482,4178,2668,1.0,PostNL,conventional,consolidated
90499,4178,2668,1.0,PostNL,conventional,consolidated
90503,4178,2668,1.0,PostNL,conventional,consolidated
90633,5501,2662,7.0,DHL,conventional,consolidated
90643,1044,2662,7.0,DHL,conventional,consolidated
90649,1044,2662,7.0,DHL,conventional,consolidated
90753,5501,2662,7.0,DHL,conventional,consolidated
90754,5501,2662,7.0,DHL,conventional,consolidated
90795,5501,2662,7.0,DHL,conventional,consolidated
90951,7399,2668,1.0,PostNL,conventional,consolidated
90959,6955,2668,1.0,PostNL,conventional,consolidated
90961,7399,2668,1.0,PostNL,conventional,consolidated
91020,5501,1044,7.0,DHL,conventional,consolidated
91039,5514,4604,5.0,GLS,conventional,consolidated
91089,4178,2668,1.0,PostNL,conventional,consolidated
91106,4137,4604,15.0,FedEx,conventional,consolidated
91214,4178,2668,1.0,PostNL,conventional,consolidated
91215,4178,2668,1.0,PostNL,conventional,consolidated
91241,4178,2668,1.0,PostNL,conventional,consolidated
91264,3362,4604,13.0,UPS,conventional,consolidated
91268,1044,2662,7.0,DHL,conventional,consolidated
91306,6955,2668,1.0,PostNL,conventional,consolidated
91332,7399,2668,1.0,PostNL,conventional,consolidated
91338,6955,2668,1.0,PostNL,conventional,consolidated
91375,5514,4604,5.0,GLS,conventional,consolidated
91428,4178,2668,1.0,PostNL,conventional,consolidated
91479,2662,1044,7.0,DHL,conventional,consolidated
91489,2662,1044,7.0,DHL,conventional,consolidated
91491,2662,1044,7.0,DHL,conventional,consolidated
91535,6955,2668,1.0,PostNL,conventional,consolidated
91558,6955,2668,1.0,PostNL,conventional,consolidated
91615,5501,2662,7.0,DHL,conventional,consolidated
91658,5501,2662,7.0,DHL,conventional,consolidated
91664,6767,2662,7.0,DHL,conventional,consolidated
91676,5501,2662,7.0,DHL,conventional,consolidated
91819,4178,2668,1.0,PostNL,conventional,consolidated
91916,7399,2668,1.0,PostNL,conventional,consolidated
91960,5501,2662,7.0,DHL,conventional,consolidated
91972,5501,2662,7.0,DHL,conventional,consolidated
91995,5514,4604,5.0,GLS,conventional,consolidated
92003,6955,2668,1.0,PostNL,conventional,consolidated
92046,4178,2668,1.0,PostNL,conventional,consolidated
92079,5501,2662,7.0,DHL,conventional,consolidated
92108,6767,2662,7.0,DHL,conventional,consolidated
92190,7399,2668,1.0,PostNL,conventional,consolidated
92314,2662,1044,7.0,DHL,conventional,consolidated
92364,4178,2668,1.0,PostNL,conventional,consolidated
92365,6955,2668,1.0,PostNL,conventional,consolidated
92432,6767,1044,7.0,DHL,conventional,consolidated
92441,5501,1044,7.0,DHL,conventional,consolidated
92456,4178,2668,1.0,PostNL,conventional,consolidated
92511,4178,2668,1.0,PostNL,conventional,consolidated
92556,5514,4604,5.0,GLS,conventional,consolidated
92575,2662,1044,7.0,DHL,conventional,consolidated
92582,5501,1044,7.0,DHL,conventional,consolidated
92583,2662,1044,7.0,DHL,conventional,consolidated
92584,2662,1044,7.0,DHL,conventional,consolidated
92588,2662,1044,7.0,DHL,conventional,consolidated
92654,7399,2668,1.0,PostNL,conventional,consolidated
92663,7399,2668,1.0,PostNL,conventional,consolidated
92683,5501,1044,7.0,DHL,conventional,consolidated
92689,2662,1044,7.0,DHL,conventional,consolidated
92697,5501,1044,7.0,DHL,conventional,consolidated
92703,5501,1044,7.0,DHL,conventional,consolidated
92767,4137,4604,15.0,FedEx,conventional,consolidated
92813,6955,2668,1.0,PostNL,conventional,consolidated
92856,4178,2668,1.0,PostNL,conventional,consolidated
92905,6955,2668,1.0,PostNL,conventional,consolidated
92983,2662,1044,7.0,DHL,conventional,consolidated
93042,4178,2668,1.0,PostNL,conventional,consolidated
93050,7241,1044,7.0,DHL,conventional,consolidated
93110,6955,2668,1.0,PostNL,conventional,consolidated
93144,2662,1044,7.0,DHL,conventional,consolidated
93147,1008,1044,7.0,DHL,conventional,consolidated
93295,5501,1044,7.0,DHL,conventional,consolidated
93378,5501,1044,7.0,DHL,conventional,consolidated
93379,2662,1044,7.0,DHL,conventional,consolidated
93421,4178,2668,1.0,PostNL,conventional,consolidated
93430,4178,2668,1.0,PostNL,conventional,consolidated
93439,7241,1044,7.0,DHL,conventional,consolidated
93457,5514,4604,5.0,GLS,conventional,consolidated
93510,6955,2668,1.0,PostNL,conventional,consolidated
93525,2662,1044,7.0,DHL,conventional,consolidated
93526,2662,1044,7.0,DHL,conventional,consolidated
93582,2662,1044,7.0,DHL,conventional,consolidated
93589,5501,1044,7.0,DHL,conventional,consolidated
93596,5501,1044,7.0,DHL,conventional,consolidated
93633,4178,2668,1.0,PostNL,conventional,consolidated
93658,4178,2668,1.0,PostNL,conventional,consolidated
93724,4178,2668,1.0,PostNL,conventional,consolidated
93740,4178,2668,1.0,PostNL,conventional,consolidated
93901,5514,4604,5.0,GLS,conventional,consolidated
93902,5514,4604,5.0,GLS,conventional,consolidated
93906,4137,4604,15.0,FedEx,conventional,consolidated
93918,2662,1044,7.0,DHL,conventional,consolidated
93933,2662,1044,7.0,DHL,conventional,consolidated
93987,6767,1044,7.0,DHL,conventional,consolidated
94003,2662,1044,7.0,DHL,conventional,consolidated
94004,2662,1044,7.0,DHL,conventional,consolidated
94008,2662,1044,7.0,DHL,conventional,consolidated
94010,5501,1044,7.0,DHL,conventional,consolidated
94027,5514,4604,5.0,GLS,conventional,consolidated
94080,5514,4604,5.0,GLS,conventional,consolidated
94100,4178,2668,1.0,PostNL,conventional,consolidated
94151,7399,2668,1.0,PostNL,conventional,consolidated
94209,4178,2668,1.0,PostNL,conventional,consolidated
94232,4178,2668,1.0,PostNL,conventional,consolidated
94278,6955,2668,1.0,PostNL,conventional,consolidated
94342,4137,4604,15.0,FedEx,conventional,consolidated
94350,5514,4604,5.0,GLS,conventional,consolidated
94370,5501,1044,7.0,DHL,conventional,consolidated
94372,2662,1044,7.0,DHL,conventional,consolidated
94381,2662,1044,7.0,DHL,conventional,consolidated
94388,2662,1044,7.0,DHL,conventional,consolidated
94397,3362,4604,13.0,UPS,conventional,consolidated
94407,3362,4604,13.0,UPS,conventional,consolidated
94463,4178,2668,1.0,PostNL,conventional,consolidated
94500,3362,4604,13.0,UPS,conventional,consolidated
94507,4137,4604,15.0,FedEx,conventional,consolidated
94517,5501,1044,7.0,DHL,conventional,consolidated
94543,2662,1044,7.0,DHL,conventional,consolidated
94558,4137,4604,15.0,FedEx,conventional,consolidated
94670,2662,1044,7.0,DHL,conventional,consolidated
94685,7399,2668,1.0,PostNL,conventional,consolidated
94699,1008,2662,7.0,DHL,conventional,consolidated
94705,5501,2662,7.0,DHL,conventional,consolidated
94772,4178,2668,1.0,PostNL,conventional,consolidated
94816,5501,2662,7.0,DHL,conventional,consolidated
94837,7399,2668,1.0,PostNL,conventional,consolidated
94955,5514,4604,5.0,GLS,conventional,consolidated
94957,5514,4604,5.0,GLS,conventional,consolidated
94964,4178,2668,1.0,PostNL,conventional,consolidated
94970,4178,2668,1.0,PostNL,conventional,consolidated
95002,4178,2668,1.0,PostNL,conventional,consolidated
95022,5501,1044,7.0,DHL,conventional,consolidated
95024,2662,1044,7.0,DHL,conventional,consolidated
95057,2662,1044,7.0,DHL,conventional,consolidated
95092,3362,4604,13.0,UPS,conventional,consolidated
95130,4178,2668,1.0,PostNL,conventional,consolidated
95163,5501,1044,7.0,DHL,conventional,consolidated
95215,5501,1044,7.0,DHL,conventional,consolidated
95216,2662,1044,7.0,DHL,conventional,consolidated
95309,4137,4604,15.0,FedEx,conventional,consolidated
95377,6767,2662,7.0,DHL,conventional,consolidated
95438,4178,2668,1.0,PostNL,conventional,consolidated
95469,5501,2662,7.0,DHL,conventional,consolidated
95539,7399,2668,1.0,PostNL,conventional,consolidated
95544,4178,2668,1.0,PostNL,conventional,consolidated
95552,5514,4604,5.0,GLS,conventional,consolidated
95556,7241,2662,7.0,DHL,conventional,consolidated
95560,5501,2662,7.0,DHL,conventional,consolidated
95574,6767,2662,7.0,DHL,conventional,consolidated
95577,5501,2662,7.0,DHL,conventional,consolidated
95624,4137,4604,15.0,FedEx,conventional,consolidated
95724,4178,2668,1.0,PostNL,conventional,consolidated
95734,4178,2668,1.0,PostNL,conventional,consolidated
95872,6955,2668,1.0,PostNL,conventional,consolidated
95903,6955,2668,1.0,PostNL,conventional,consolidated
95946,1044,2662,7.0,DHL,conventional,consolidated
95987,6955,2668,1.0,PostNL,conventional,consolidated
96038,4178,2668,1.0,PostNL,conventional,consolidated
96109,6955,2668,1.0,PostNL,conventional,consolidated
96113,7399,2668,1.0,PostNL,conventional,consolidated
96218,5501,2662,7.0,DHL,conventional,consolidated
96254,3362,4604,13.0,UPS,conventional,consolidated
96271,4178,2668,1.0,PostNL,conventional,consolidated
96368,5501,2662,7.0,DHL,conventional,consolidated
96376,1044,2662,7.0,DHL,conventional,consolidated
96381,5501,2662,7.0,DHL,conventional,consolidated
96387,1044,2662,7.0,DHL,conventional,consolidated
96548,4178,2668,1.0,PostNL,conventional,consolidated
96706,4178,2668,1.0,PostNL,conventional,consolidated
