Parcel_ID,O_zone,D_zone,DepotNumber,CEP,Task
89791,2668,2256,1.0,PostNL,Delivery
89797,2662,2257,10.0,DHL,Delivery
89815,4604,2257,14.0,DPD,Delivery
89821,2668,2257,1.0,PostNL,Delivery
89841,2668,2257,1.0,PostNL,Delivery
89850,4604,2257,14.0,DPD,Delivery
89852,2662,2258,10.0,DHL,Delivery
89860,2662,2259,10.0,DHL,Delivery
89878,2668,2259,1.0,PostNL,Delivery
89889,2662,2260,10.0,DHL,Delivery
89904,2668,2260,1.0,PostNL,Delivery
89913,2668,2260,1.0,PostNL,Delivery
89933,2662,2261,10.0,DHL,Delivery
89940,4604,2261,14.0,DPD,Delivery
89948,4604,2261,14.0,DPD,Delivery
89957,2668,2261,1.0,PostNL,Delivery
89958,2668,2261,1.0,PostNL,Delivery
89964,2668,2261,1.0,PostNL,Delivery
89972,2668,2261,1.0,PostNL,Delivery
89975,2668,2261,1.0,PostNL,Delivery
89985,2668,2261,1.0,PostNL,Delivery
89991,4604,2261,14.0,DPD,Delivery
90027,2668,2262,1.0,PostNL,Delivery
90030,2668,2262,1.0,PostNL,Delivery
90050,2668,2264,1.0,PostNL,Delivery
90056,4604,2264,14.0,DPD,Delivery
90067,2668,2265,1.0,PostNL,Delivery
90073,2668,2265,1.0,PostNL,Delivery
90075,2668,2265,1.0,PostNL,Delivery
90081,2662,2266,10.0,DHL,Delivery
90090,4604,2266,14.0,DPD,Delivery
90118,2668,2267,1.0,PostNL,Delivery
90121,2668,2267,1.0,PostNL,Delivery
90145,2668,2268,1.0,PostNL,Delivery
90148,2668,2268,1.0,PostNL,Delivery
90160,2668,2268,1.0,PostNL,Delivery
90188,2668,2269,1.0,PostNL,Delivery
90207,2662,2270,10.0,DHL,Delivery
90216,4604,2270,14.0,DPD,Delivery
90228,2668,2270,1.0,PostNL,Delivery
90231,2668,2270,1.0,PostNL,Delivery
90237,2668,2270,1.0,PostNL,Delivery
90260,2668,2271,1.0,PostNL,Delivery
90266,2668,2271,1.0,PostNL,Delivery
90289,2662,2272,10.0,DHL,Delivery
90309,4604,2272,14.0,DPD,Delivery
90317,4604,2272,14.0,DPD,Delivery
90318,4604,2272,14.0,DPD,Delivery
90329,2668,2272,1.0,PostNL,Delivery
90335,2668,2272,1.0,PostNL,Delivery
90358,2668,2272,1.0,PostNL,Delivery
90399,4604,2273,14.0,DPD,Delivery
90434,2668,2273,1.0,PostNL,Delivery
90440,4604,2273,14.0,DPD,Delivery
90475,2668,2274,1.0,PostNL,Delivery
90482,2668,2274,1.0,PostNL,Delivery
90499,2668,2275,1.0,PostNL,Delivery
90503,2668,2275,1.0,PostNL,Delivery
90518,2662,2276,10.0,DHL,Delivery
90520,2662,2276,10.0,DHL,Delivery
90522,2662,2276,10.0,DHL,Delivery
90524,4604,2276,14.0,DPD,Delivery
90547,2668,2276,1.0,PostNL,Delivery
90560,4604,2277,14.0,DPD,Delivery
90572,2668,2277,1.0,PostNL,Delivery
90609,2668,2278,1.0,PostNL,Delivery
90618,2668,2278,1.0,PostNL,Delivery
90633,2662,2279,10.0,DHL,Delivery
90636,2668,2279,1.0,PostNL,Delivery
90643,2662,2280,10.0,DHL,Delivery
90649,2662,2280,10.0,DHL,Delivery
90669,2668,2280,1.0,PostNL,Delivery
90713,2668,2281,1.0,PostNL,Delivery
90753,2662,2283,10.0,DHL,Delivery
90754,2662,2283,10.0,DHL,Delivery
90763,4604,2283,14.0,DPD,Delivery
90795,2662,2287,10.0,DHL,Delivery
90835,4604,2288,14.0,DPD,Delivery
90837,2668,2288,1.0,PostNL,Delivery
90843,2668,2288,1.0,PostNL,Delivery
90854,4604,2288,14.0,DPD,Delivery
90862,4604,2289,14.0,DPD,Delivery
90868,2668,2289,1.0,PostNL,Delivery
90872,2668,2289,1.0,PostNL,Delivery
90936,2668,2290,1.0,PostNL,Delivery
90944,2668,2290,1.0,PostNL,Delivery
90945,2668,2290,1.0,PostNL,Delivery
90951,2668,2290,1.0,PostNL,Delivery
90959,2668,2290,1.0,PostNL,Delivery
90961,2668,2290,1.0,PostNL,Delivery
90964,2668,2290,1.0,PostNL,Delivery
90981,2668,2290,1.0,PostNL,Delivery
90984,2668,2290,1.0,PostNL,Delivery
90986,2668,2290,1.0,PostNL,Delivery
90993,2668,2290,1.0,PostNL,Delivery
91001,4604,2290,14.0,DPD,Delivery
91002,4604,2290,14.0,DPD,Delivery
91020,1044,2291,7.0,DHL,Delivery
91030,1044,2291,7.0,DHL,Delivery
91039,4604,2291,14.0,DPD,Delivery
91044,4604,2291,14.0,DPD,Delivery
91066,2668,2291,1.0,PostNL,Delivery
91070,2668,2291,1.0,PostNL,Delivery
91075,2668,2291,1.0,PostNL,Delivery
91089,2668,2291,1.0,PostNL,Delivery
91104,4604,2291,14.0,DPD,Delivery
91106,4604,2291,14.0,DPD,Delivery
91140,2662,2292,10.0,DHL,Delivery
91144,2662,2292,10.0,DHL,Delivery
91161,4604,2292,14.0,DPD,Delivery
91209,2668,2292,1.0,PostNL,Delivery
91214,2668,2292,1.0,PostNL,Delivery
91215,2668,2292,1.0,PostNL,Delivery
91228,2668,2292,1.0,PostNL,Delivery
91241,2668,2292,1.0,PostNL,Delivery
91250,2668,2292,1.0,PostNL,Delivery
91264,4604,2292,14.0,DPD,Delivery
91268,2662,2293,10.0,DHL,Delivery
91286,4604,2293,14.0,DPD,Delivery
91306,2668,2293,1.0,PostNL,Delivery
91332,2668,2293,1.0,PostNL,Delivery
91338,2668,2293,1.0,PostNL,Delivery
91345,4604,2293,14.0,DPD,Delivery
91375,4604,2294,14.0,DPD,Delivery
91384,4604,2294,14.0,DPD,Delivery
